objectid	provinsi	kabkot	jumlah_kec	jumlah_des	jumlah_kel	jumlah_pen	jumlah_kk	luas_wilay	kepadatan_	perpindaha	jumlah_men	perubahan_	wajib_ktp	islam	kristen	katholik	hindu	budha	konghucu	kepercayaa	pria	wanita	belum_kawi	kawin	cerai_hidu	cerai_mati	u0	u5	u10	u15	u20	u25	u30	u35	u40	u45	u50	u55	u60	u65	u70	u75	lahir_thn3	lahir_seb3	pertumbuha	pertumbuh2	pertumbuh3	pertumbuh4	pertumbuh5	pendidikan	pendidika2	pendidika3	pendidika4	pendidika5	pendidika6	tidak_belu	belum_tama	tamat_sd	sltp	slta	diploma_i_	diploma_ii	diploma_iv	strata_ii	strata_iii	a	b	ab	o	a_	a_2	b_	b_2	ab_	ab_2	o_	o_2	tidak_di_k	belum_tida	aparatur_p	tenaga_pen	wiraswasta	pertanian_	nelayan	agama_dan_	pelajar_ma	tenaga_kes	pensiunan	lainnya	generated_	f4_18_tahun_pendidikan_khusus	f5_6_tahun_paud	f7_12_tahun_sd	f12_15_tahun_smp	f16_18_tahun_sma
674	KEPULAUAN BANGKA BELITUNG	KOTA PANGKAL PINANG	7	0	42	227948	73881	104.54	2180	1277	105	206520	158856	192177	9029	7044	61	11841	7784	12	115140	112808	110635	103536	4616	9161	19822	21940	21418	16728	16831	17812	19527	20363	18629	14179	11171	9077	8015	5957	3397	3082	4441	214490	2	2	2	2	0	8595	26496	12354	9206	9773	16817	52877	25885	34117	26978	63403	1829	6045	15442	1304	68	9024	9284	3760	13994	259	7	201	15	126	29	218	205	190826	58242	12630	1392	60834	2063	863	141	43376	761	1872	45773	30 Juni 2022	57983	8713	25574	11484	8192
675	KEPULAUAN RIAU	BINTAN	10	36	15	169447	50953	1320.84	128	1244	99	143263	118600	148327	8885	4012	119	7582	514	8	86872	82575	84071	75784	3234	6358	13074	15912	17152	13445	13944	12790	12107	14589	15360	12758	9745	6918	4786	3103	1792	1972	2839	160946	2	2	2	1	0	6035	20214	10024	7154	7424	14310	49578	25985	23489	21486	39530	981	2355	5861	170	12	4330	5232	1874	11507	199	12	169	11	99	35	183	184	145612	42482	3222	966	40303	3410	8205	55	32076	372	762	37594	30 Juni 2022	43987	5763	18885	8783	7833
676	KEPULAUAN RIAU	KARIMUN	12	42	29	262075	84260	930.45	282	1220	135	216955	188144	223990	9829	2709	20	24628	898	1	134030	128045	129076	117579	4945	10475	19196	23986	24301	19588	22038	20950	19371	20743	21937	19005	15148	11873	9401	6554	3845	4139	4122	249666	2	2	2	1	0	9273	29453	13934	10634	11019	22364	58463	36314	68131	36038	49940	1158	2923	8686	408	14	3745	4279	1618	8309	339	9	368	17	118	28	319	273	242653	54961	6642	1824	56490	9080	12664	82	56370	585	926	62451	30 Juni 2022	66820	9560	28519	12667	11628
677	KEPULAUAN RIAU	NATUNA	15	70	7	82824	25808	1999.18	41	255	44	75190	57890	80430	1152	277	1	845	119	0	42369	40455	40125	37593	1914	3192	6591	7775	8273	7816	6747	6290	6023	6731	6621	5554	4378	3397	2591	1817	1077	1143	1364	78419	2	2	2	2	0	3005	9725	4887	4651	4667	7322	19524	16461	16326	9209	14978	479	1252	4444	146	5	5539	7332	2576	12913	913	16	1062	5	248	10	840	51	51319	19446	3945	472	11744	4622	6565	24	17047	345	368	18246	30 Juni 2022	24206	3189	9918	4819	4828
678	KEPULAUAN RIAU	LINGGA	13	75	7	102150	33684	2214.63	46	385	82	101588	75208	93757	1881	1171	3	5300	23	15	52725	49425	50036	45479	1653	4982	6989	8530	8915	9375	7830	7321	7255	8485	8470	7192	5995	4811	4071	3150	1882	1879	1499	97574	2	2	2	1	0	3247	10613	5390	5533	5432	8780	43918	7980	23809	9169	12063	623	1011	3493	84	0	1423	1578	674	2791	77	5	40	4	16	17	51	159	95315	27796	2862	659	15708	1996	14197	29	15705	184	338	22671	30 Juni 2022	27090	3511	10579	5366	6047
679	KEPULAUAN RIAU	KEPULAUAN ANAMBAS	10	52	2	48084	14922	626.98	77	181	22	42435	33687	44889	1017	1098	1	1079	0	0	24695	23389	22862	22296	830	2096	3907	4565	4614	3700	4147	3866	3801	3857	3848	3370	2681	1929	1513	1038	573	675	857	45570	2	2	2	2	0	1787	5443	2873	1946	2170	4209	15309	5089	13088	4012	6951	261	647	2665	60	2	440	506	203	1000	143	3	202	4	45	6	230	50	45252	12407	1898	358	7290	2061	5079	9	8294	117	114	10457	30 Juni 2022	13243	1855	5485	2728	2348
680	KEPULAUAN RIAU	KOTA BATAM	12	0	64	1207082	428426	1034.76	1167	10629	341	1086595	830716	869384	214367	40758	746	80357	1178	292	612671	594411	648852	526821	13535	17874	96161	123803	123272	91823	93948	104475	106931	119444	119227	92590	61715	33539	19090	10859	5556	4649	21486	1145230	2	2	2	1	0	47987	150698	71129	48860	52028	91008	400795	124178	93349	105383	405762	4010	21303	49959	2215	128	33993	37841	14968	90154	1543	112	1540	95	782	261	1262	1007	1023524	344722	14759	7495	448895	3129	10496	605	196618	2787	1004	176571	30 Juni 2022	327124	47620	146936	64646	45570
681	KEPULAUAN RIAU	KOTA TANJUNG PINANG	4	0	18	229553	74977	147.03	1561	1301	152	200656	165950	184272	14418	3214	50	27081	516	2	115472	114081	114415	100487	5711	8940	16331	19960	21351	18468	18479	18340	16535	18557	20211	17323	13954	10579	7952	5451	3067	2995	3534	218673	2	2	2	1	0	7614	24946	12804	10325	10606	18933	55582	24607	37263	27990	61842	1244	4980	14859	1132	54	5808	6333	2288	12800	272	16	263	10	88	34	220	253	201168	56276	11345	1683	64931	991	2210	59	44196	691	1766	45405	30 Juni 2022	59909	8007	25357	12309	10558
682	DKI JAKARTA	ADMINISTRASI KEPULAUAN SERIBU	2	0	6	29719	8771	10.73	2770	98	34	29422	20649	29696	14	4	0	4	0	1	15043	14676	14253	13951	372	1143	2869	2853	2643	2498	2632	2505	2490	2442	2288	1857	1607	1166	845	500	296	228	615	27789	2	2	2	2	1	1148	3309	1546	1455	1452	2716	4865	3266	6179	4730	8715	75	422	1415	49	3	678	444	221	1274	157	42	202	18	132	8	251	61	26231	5281	593	488	3874	9	4004	1	8227	119	77	7046	30 Juni 2022	7882	1096	3271	1438	1501
683	DKI JAKARTA	KOTA ADMINISTRASI JAKARTA PUSAT	8	0	44	1105731	384503	47.56	23249	4962	996	1106553	834065	908184	107540	49411	3714	36706	127	49	555089	550642	530093	502345	21947	51346	75082	86363	85361	83808	85210	83534	83098	91588	91810	83478	77091	62152	47588	30656	18998	19914	16306	1056349	2	2	1	1	0	33964	104047	50540	49376	52600	89199	152020	104137	83309	144888	454049	3694	38892	112558	11345	839	101109	109555	48375	223366	8115	1070	9013	1165	3508	589	9143	3189	587534	158681	18585	7380	412732	177	25	815	282681	4303	7404	212916	30 Juni 2022	270402	35591	110353	53290	53995
